lat,lng,country_name,country_code,population
33,66,Afghanistan,AFG,31627506
41,20,Albania,ALB,2894475
28,3,Algeria,DZA,38934334
-14.3333333,-170,American Samoa,ASM,55434
42.5,1.5,Andorra,AND,72786
-12.5,18.5,Angola,AGO,24227524
17.05,-61.8,Antigua and Barbuda,ATG,90900
-34,-64,Argentina,ARG,42980026
40,45,Armenia,ARM,3006154
12.5,-69.966667,Aruba,ABW,103441
-25,135,Australia,AUS,23490736
47.333333,13.333333,Austria,AUT,8534492
40.5,47.5,Azerbaijan,AZE,9537823
24,-76,Bahamas,BHS,383054
26,50.5,Bahrain,BHR,1361930
24,90,Bangladesh,BGD,159077513
13.166667,-59.533333,Barbados,BRB,283380
53,28,Belarus,BLR,9470000
50.833333,4,Belgium,BEL,11225207
17.25,-88.75,Belize,BLZ,351706
9.5,2.25,Benin,BEN,10598482
32.333333,-64.75,Bermuda,BMU,65181
27.5,90.5,Bhutan,BTN,765008
-17,-65,Bolivia,BOL,10561887
44.25,17.833333,Bosnia and Herzegovina,BIH,3817554
-22,24,Botswana,BWA,2219937
-10,-55,Brazil,BRA,206077898
4.5,114.666667,Brunei Darussalam,BRN,417394
43,25,Bulgaria,BGR,7223938
13,-2,Burkina Faso,BFA,17589198
-3.5,30,Burundi,BDI,10816860
16,-24,Cabo Verde,CPV,513906
13,105,Cambodia,KHM,15328136
6,12,Cameroon,CMR,22773014
50,-96,Canada,CAN,35540419
19.5,-80.666667,Cayman Islands,CYM,59172
7,21,Central African Republic,CAF,4804316
15,19,Chad,TCD,13587053
-30,-71,Chile,CHL,17762647
35,80,China,CHN,1364270000
4,-72,Colombia,COL,47791393
-12.166667,44.25,Comoros,COM,769991
0,25,Democratic Republic of the Congo,COD,74877030
-1,15,Congo,COG,4504962
10,-84,Costa Rica,CRI,4757606
8,-5,Cote d'Ivoire,CIV,22157107
45.166667,15.5,Croatia,HRV,4238389
22,-79.5,Cuba,CUB,11379111
12.166667,-69,Curacao,CUW,155872
35,33,Cyprus,CYP,1153658
49.75,15,Czech Republic,CZE,10510566
56,10,Denmark,DNK,5639565
11.5,42.5,Djibouti,DJI,876174
15.5,-61.333333,Dominica,DMA,72341
19,-70.666667,Dominican Republic,DOM,10405943
-2,-77.5,Ecuador,ECU,15902916
27,30,Egypt,EGY,89579670
13.833333,-88.916667,El Salvador,SLV,6107706
2,10,Equatorial Guinea,GNQ,820885
15,39,Eritrea,ERI,5110444
59,26,Estonia,EST,1313645
8,38,Ethiopia,ETH,96958732
62,-7,Faeroe Islands,FRO,48221
-18,178,Fiji,FJI,886450
64,26,Finland,FIN,5463596
46,2,France,FRA,66206930
4,-53,French Polynesia,PYF,279781
-1,11.75,Gabon,GAB,1687673
13.5,-15.5,"Gambia, The",GMB,1928201
41.999981,43.499905,Georgia,GEO,4504100
51.5,10.5,Germany,DEU,80889505
8,-2,Ghana,GHA,26786598
39,22,Greece,GRC,10957740
72,-40,Greenland,GRL,56295
12.116667,-61.666667,Grenada,GRD,106349
13.4444444,144.7366667,Guam,GUM,167543
15.5,-90.25,Guatemala,GTM,16015494
11,-10,Guinea,GIN,12275527
12,-15,Guinea-Bissau,GNB,1800513
5,-59,Guyana,GUY,763893
19,-72.416667,Haiti,HTI,10572029
15,-86.5,Honduras,HND,7961680
22.25,114.166667,"Hong Kong SAR, China",HKG,7241700
47,20,Hungary,HUN,9861673
65,-18,Iceland,ISL,327589
20,77,India,IND,1295291543
-5,120,Indonesia,IDN,254454778
32,53,Iran,IRN,78143644
33,44,Iraq,IRQ,34812326
53,-8,Ireland,IRL,4612719
54.25,-4.5,Isle of Man,IMN,87127
31.5,34.75,Israel,ISR,8215300
42.833333,12.833333,Italy,ITA,61336387
18.25,-77.5,Jamaica,JAM,2721252
36,138,Japan,JPN,127131800
31,36,Jordan,JOR,6607000
48,68,Kazakhstan,KAZ,17289111
1,38,Kenya,KEN,44863583
-5,-170,Kiribati,KIR,110470
40,140,North Korea,PRK,25026772
37,141,South Korea,KOR,50423955
42.583333,21,Kosovo,KSV,1823149
29.5,47.75,Kuwait,KWT,3753121
41,75,Kyrgyz Republic,KGZ,5834200
18,105,Laos,LAO,6689300
57,25,Latvia,LVA,1990351
33.833333,35.833333,Lebanon,LBN,4546774
-29.5,28.25,Lesotho,LSO,2109197
6.5,-9.5,Liberia,LBR,4396554
25,17,Libya,LBY,6258984
47.166667,9.533333,Liechtenstein,LIE,37286
56,24,Lithuania,LTU,2929323
49.75,6.166667,Luxembourg,LUX,556074
22.157778,113.559722,"Macao SAR, China",MAC,577914
41.833333,22,"Macedonia, FYR",MKD,2075625
-20,47,Madagascar,MDG,23571713
-13.5,34,Malawi,MWI,16695253
2.5,112.5,Malaysia,MYS,29901997
3.2,73,Maldives,MDV,401000
17,-4,Mali,MLI,17086022
35.916667,14.433333,Malta,MLT,427404
10,167,Marshall Islands,MHL,52898
20,-12,Mauritania,MRT,3969625
-20.3,57.583333,Mauritius,MUS,1260934
23,-102,Mexico,MEX,125385833
47,29,Moldova,MDA,3556400
43.733333,7.4,Monaco,MCO,37623
60,105,Mongolia,MNG,2909871
42.5,19.3,Montenegro,MNE,621800
32,-5,Morocco,MAR,33921203
-18.25,35,Mozambique,MOZ,27216276
22,98,Myanmar,MMR,53437159
-22,17,Namibia,NAM,2402858
28,84,Nepal,NPL,28174724
52.5,5.75,Netherlands,NLD,16854183
-21.5,165.5,New Caledonia,NCL,266000
-42,174,New Zealand,NZL,4509700
13,-85,Nicaragua,NIC,6013913
16,8,Niger,NER,19113728
10,8,Nigeria,NGA,177475986
62,10,Norway,NOR,5136475
21,57,Oman,OMN,4236057
30,70,Pakistan,PAK,185044286
6,134,Palau,PLW,21097
9,-80,Panama,PAN,3867535
-6,147,Papua New Guinea,PNG,7463577
-22.993333,-57.996389,Paraguay,PRY,6552518
-10,-76,Peru,PER,30973148
13,122,Philippines,PHL,99138690
52,20,Poland,POL,37995529
39.5,-8,Portugal,PRT,10397393
18.2482882,-66.4998941,Puerto Rico,PRI,3548397
25.5,51.25,Qatar,QAT,2172065
46,25,Romania,ROU,19910995
60,50,Russia,RUS,143819569
-2,30,Rwanda,RWA,11341544
-13.803096,-172.178309,Samoa,WSM,191845
43.933333,12.416667,San Marino,SMR,31595
25.0333,121.633,Taiwan,TAI,23476640
1,7,Sao Tome and Principe,STP,186342
25,45,Saudi Arabia,SAU,30886545
14,-14,Senegal,SEN,14672557
44,21,Serbia,SRB,7129428
-4.583333,55.666667,Seychelles,SYC,91526
8.5,-11.5,Sierra Leone,SLE,6315627
1.366667,103.8,Singapore,SGP,5469700
18.04167,-63.06667,Sint Maarten (Dutch part),SXM,37664
48.666667,19.5,Slovak Republic,SVK,5418506
46.25,15.166667,Slovenia,SVN,2062218
-8,159,Solomon Islands,SLB,572171
6,48,Somalia,SOM,10517569
-30,26,South Africa,ZAF,54001953
8,30,South Sudan,SSD,11911184
40,-4,Spain,ESP,46404602
7,81,Sri Lanka,LKA,20639000
16,30,Sudan,SDN,39350274
4,-56,Suriname,SUR,538248
-26.5,31.5,Swaziland,SWZ,1269112
62,15,Sweden,SWE,9689555
47,8,Switzerland,CHE,8190229
35,38,Syria,SYR,22157800
39,71,Tajikistan,TJK,8295840
-6,35,Tanzania,TZA,51822621
15,100,Thailand,THA,67725979
-8.833333,125.75,Timor-Leste,TLS,1212107
8,1.166667,Togo,TGO,7115163
-20,-175,Tonga,TON,105586
11,-61,Trinidad and Tobago,TTO,1354483
34,9,Tunisia,TUN,10996600
39.059012,34.911546,Turkey,TUR,75932348
40,60,Turkmenistan,TKM,5307188
21.733333,-71.583333,Turks and Caicos Islands,TCA,33740
-8,178,Tuvalu,TUV,9893
2,33,Uganda,UGA,37782971
49,32,Ukraine,UKR,45362900
24,54,United Arab Emirates,ARE,9086139
54,-4,United Kingdom,GBR,64510376
39.828175,-98.5795,United States of America,USA,318857056
-33,-56,Uruguay,URY,3419516
41.707542,63.84911,Uzbekistan,UZB,30757700
-16,167,Vanuatu,VUT,258883
8,-66,"Venezuela, RB",VEN,30693827
16.166667,107.833333,Vietnam,VNM,90730000
31.666667,35.25,West Bank and Gaza,PSE,4294682
15.5,47.5,Yemen,YEM,26183676
42.5,19.3,Yugoslavia,MNE,621800
-15,30,Zambia,ZMB,15721343
-19,29,Zimbabwe,ZWE,15245855
